Date	Shad	Salmon	Sea_Lamprey	Thumb_Shad	Diglis_level_noon	Tide_height	Sabrina_eDNA_reads	Diglis_eDNA_reads
13/04/2023	0	1	0	0	0.79	5.7		
14/04/2023	0	0	0	0	0.95	5.3		
15/04/2023	0	0	0	0	0.98	5.2		
16/04/2023	0	0	0	0	0.91	6.4		
17/04/2023	0	1	0	0	0.84	7.7		
18/04/2023	0	0	0	0	0.79	8.7		
19/04/2023	0	2	0	0	0.75	9.3		
20/04/2023	0	1	1	0	0.72	9.6		
21/04/2023	0	1	1	0	0.7	9.6		
22/04/2023	0	0	3	0	0.72	9.2		
23/04/2023	4	2	3	4	0.72	8.6		
24/04/2023	0	0	1	0	0.72	7.8		
25/04/2023	1	2	1	1	0.7	6.9		
26/04/2023	0	4	5	0	0.68	6		
27/04/2023	0	2	2	0	0.66	5		
28/04/2023	0	0	2	0	0.65	4.2		
29/04/2023	0	0	0	0	0.64	4.2		
30/04/2023	0	0	3	0	0.66	4.7		
01/05/2023	0	3	2	0	0.69	5.7		
02/05/2023	0	5	2	0	0.67	6.7		
03/05/2023	0	3	3	0	0.66	7.5		
04/05/2023	3	0	3	3	0.62	8		
05/05/2023	3	3	6	3	0.65	8.3		
06/05/2023	2	6	9	2	0.62	8.5		
07/05/2023	1	1	23	1	0.63	8.4		
08/05/2023	20	3	7	21	0.64	8.3		
09/05/2023	4	5	13	4	0.66	8	441	176
10/05/2023	9	2	36	10	0.7	7.5		
11/05/2023	16	1	40	17	0.68	6.7		
12/05/2023	10	2	43	10	0.66	5.9		
13/05/2023	6	1	31	6	0.64	5.8		
14/05/2023	3	0	68	3	0.63	5.8		
15/05/2023	1	2	57	0	0.6	6.6		
16/05/2023	1	4	13	0	0.59	7.4		
17/05/2023	1	0	10	1	0.57	8.2		
18/05/2023	0	1	7	0	0.56	8.6		
19/05/2023	4	5	23	6	0.57	8.7		
20/05/2023	6	2	33	6	0.56	8.6		
21/05/2023	27	1	22	30	0.53	8.3		
22/05/2023	40	1	19	39	0.52	7.8	3415	2704
23/05/2023	15	3	35	20	0.52	7.2		
24/05/2023	7	5	35	22	0.51	6.6		
25/05/2023	10	1	26	12	0.5	6		
26/05/2023	15	5	20	22	0.5	5.4		
27/05/2023	15	6	14	14	0.5	4.9		
28/05/2023	14	8	12	11	0.49	5		
29/05/2023	16	5	8	12	0.47	4.9		
30/05/2023	1	9	6	1	0.47	5.5		
31/05/2023	1	5	3	2	0.47	6.2		
01/06/2023	1	7	3	2	0.46	7		
02/06/2023	2	5	3	3	0.48	7.7		
03/06/2023	1	9	6	2	0.48	8.2		
04/06/2023	3	11	3	3	0.48	8.5		
05/06/2023	1	17	11	0	0.48	8.6		
06/06/2023	4	26	9	3	0.47	8.5	11	0
07/06/2023	2	17	1	4	0.48	8.2		
08/06/2023	4	7	9	3	0.47	7.8		
09/06/2023	1	11	9	3	0.48	7.3		
10/06/2023	0	7	5	2	0.47	6.8		
11/06/2023	2	54	3	2	0.54	6.7		
12/06/2023	3	6	5	1	0.57	6.5		
13/06/2023	0	5	0	2	0.54	6.6		
14/06/2023	1	13	2	2	0.52	6.9		
15/06/2023	0	15	1	0	0.54	7.2		
16/06/2023								
17/06/2023								
18/06/2023								
19/06/2023							0	267