#OTU_ID	B2	B3	B5	BN1	BN3	DW1	DW10	DW18	DW2	DW3	DW4	DW5	DW7	DWN1	DWN3	DWN5	DWN7	L3	L4	L5	L8	L9	LN1	LN3	N	N1	N10	N11	N12	N13	N14	N15	N16	N18	N19	N2	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N3	N30	N31	N33	N34	N35	N37	N39	N4	N40	N41	N42	N43	N44	N6	N7	N8	N9	NE1	NE2	PB16	PB19	PB20	PB23	PB24	PB25	PB26	PB29	PB30	PB37	PB38	PB39	PB40	PB41	PB52	PB53	PB54	PB55	PB56	PB57	PB58	PB59	PB60	PB66	PB67	PB68	PB69	PB70	PB71	PB72	PB73	PB74	PBN12	PBN18	PBN3	PBN5	PBN7	PBN9	PN11	PN16	TB24	TB25	TB27	TB29	TB30	TB31	TB33	TB34	TB35	TB36	TB39	TB40	TB41	TB42	TB43	TB45	TBN11	TBN13	TBN5	TBN7	TBN9	WB1	WB12	WB13	WB14	WB17	WB18	WB19	WB2	WB20	WB4	WB5	WB7	WB8	WB9	WBN1	WBN3	WBN5	WBN7
Abramis brama	0	13562	0	0	0	0	13544	0	0	2233	0	0	0	0	0	0	0	16394	93179	99931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1449	3431	0	0	0	6267	813	0	1651	2941	0	0	0	0	0	0	0	0	370	827	998	845	547	0	7527	3246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4634	0	20625	0	14255	16292	0	0	0	0	0	0	0	0	0	0	0	0
Alburnus alburnus	2902	0	0	0	0	0	9257	0	0	0	0	0	0	0	0	0	0	0	0	0	14115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3191	9973	45696	31546	20308	9288	0	15941	0	17671	5514	9807	6571	0	0	0	0	0	0	0	0	0	8163	6020	5021	1728	2841	0	0	9859	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20226	0	0	0	0	0	0	0	0	0	0	0	0	0
Alosa spp.	0	0	12725	0	0	0	0	10126	0	5781	7166	0	41521	0	0	312	0	0	0	0	0	4350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6280	0	0	0	28974	0	0	0	0	0	0	0	0	0	0	0	0	0	3263	417	29139	0	0	0	0	0	0	0	3406	5205	2561	1099	3249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17648	0	0	0	0	12025	24437	15977	0	0	0	0	0	0	0	0	0	0	0	0	23353	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anguilla anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677	0	0	0	0	0	0	0	0	0
Barbatula barbatula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	965	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barbus barbus	0	0	0	0	0	0	9426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28524	22165	38740	2314	4590	4932	9609	19572	13258	0	0	4053	3804	12531	0	0	0	3459	0	820	0	3611	7635	13883	13709	19373	3300	10891	0	3823	6860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20143	10395	8240	0	0	0	8437	0	0	0	0	0	0	0	0	4401	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cottus spp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622	452	0	466	0	0	0	0	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esox lucius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0
Gobio gobio	11417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1846	10430	0	1178	7207	2900	0	0	5543	0	2863	5349	11414	0	0	0	0	0	768	0	1279	3629	6042	1660	2598	1218	686	1745	0	3768	12059	0	0	0	0	0	0	0	0	0	0	0	10162	0	0	0	0	0	0	2326	8015	2288	5139	0	0	0	0	0	0	0	0	9049	11183	0	0	2131	8074	0	0	0	0	9611	11994	13413	0	0	0	0	0
Gymnocephalus cernuus	0	0	0	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0
Leuciscus spp.	7759	0	0	0	0	833	0	0	3710	0	0	0	0	0	0	0	0	0	4133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355	5557	0	980	12296	10102	910	0	15164	8213	0	4567	9607	2913	0	0	0	0	0	0	0	0	0	809	1212	1166	2493	3293	0	7214	3457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7204	19845	0	0	4464	0	0	0	0	0	0
Rutilus rutilus	21465	10795	0	0	0	0	13976	0	0	5924	0	0	0	0	0	0	0	33597	10297	10683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6355	3438	2748	10942	7821	5114	0	2267	0	3079	2671	5899	9789	0	0	0	0	694	0	0	17321	42457	1204	1991	0	0	0	0	0	3929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4111	3958	22528	0	0	0	0	72614	0	0	0	0	0	0
Petromyzon marinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoxinus phoxinus	0	6349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49035	37426	20553	10754	32965	38214	33865	0	21351	22218	58581	30832	54436	19200	4160	6965	0	33981	1551	4616	0	0	6901	74384	79548	69195	41819	84038	1190	21956	40576	5673	0	0	0	0	0	32	0	0	45516	0	43835	25856	34646	5659	50379	14820	65935	44761	31407	23427	17942	140112	44496	110880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9140	0	0	0	0
Pseudorasbora parva	0	0	0	0	0	0	0	4865	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
